2018-03-11	590071	53967135	69414607	24686127
2018-03-12	470607	53898683	69450961	24704488
2018-03-13	678127	53979978	69575062	24753206
2018-03-14	664873	53997809	69699884	24801354
2018-03-15	649314	54017887	69812038	24844986
2018-03-16	535541	53947850	69934749	24886952
2018-03-17	610541	53891679	70054550	24921338
2018-03-18	601308	53856460	70143866	24938995
2018-03-19	601247	53742028	70126337	24927309
2018-03-20	708153	53821514	70521926	25019772
2018-03-21	667990	53823773	70654619	25060706
2018-03-22	646878	53888033	70797023	25106303
2018-03-23	647778	53938951	70936346	25156604
2018-03-24	688208	53941273	71157372	25247207
2018-03-25	675153	53807295	71304727	25324656
2018-03-26	634095	53707437	71338523	25339146
2018-03-27	654473	53830132	71449415	25371026
2018-03-28	706802	54106244	71583824	25418786
2018-03-29	655185	54352221	71726428	25472493
2018-03-30	587715	54495024	71843206	25514251
2018-03-31	593683	54650872	71994561	25555403
2018-04-01	637811	54841994	72091806	25579552
2018-04-02	671987	55064718	72157366	25598517
2018-04-03	666113	55226745	72282509	25634569
2018-04-04	692373	55442301	72428403	25682877
2018-04-05	674886	55614318	72574931	25734769
2018-04-06	572742	55631608	72710441	25781443
2018-04-07	612019	55779722	72834419	25820658
2018-04-08	663970	55842722	72893226	25843476
2018-04-09	618427	55812910	72928291	25857157
2018-04-10	674475	55893209	73043864	25899468
2018-04-11	600895	56108299	73210197	25953732
2018-04-12	679081	56087527	73395828	26030768
2018-04-13	633158	56134257	73533046	26078311
2018-04-14	732756	56478005	73671185	26120962
2018-04-15	711462	56639451	73716309	26137022
2018-04-16	705719	56573766	73725044	26142489
2018-04-17	748570	56674797	73840414	26182786
2018-04-18	811459	56908954	73958612	26223539
2018-04-19	730744	57077627	74108840	26268491
2018-04-20	683572	57151657	74235390	26308124
2018-04-21	669724	57276019	74367985	26346814
2018-04-22	643934	57321822	74400855	26351131
2018-04-23	728866	57426646	74423782	26358410
2018-04-24	757219	57566926	74546574	26399525
2018-04-25	695559	57667991	74689631	26446725
2018-04-26	733574	57905321	74831746	26495782
2018-04-27	821759	58194996	74973664	26544295
2018-04-28	849562	58578530	75066470	26585182
2018-04-29	809140	58845343	75116993	26602894
2018-04-30	685449	58904882	75121962	26609188
2018-05-01	625629	58904862	75211387	26646858
2018-05-02	619894	58924272	75295442	26678585
2018-05-03	679208	58948875	75415950	26726182
2018-05-04	619250	58978546	75548810	26767907
2018-05-05	675311	59128543	75692253	26810464
2018-05-06	589497	59096511	75756219	26828685
2018-05-07	573919	59064443	75772813	26835082
2018-05-08	788370	59205309	75910286	26887265
2018-05-09	821616	59395494	76123177	26977443
2018-05-10	766042	59556678	76297962	27039061
2018-05-11	591379	59673711	76436666	27086594
2018-05-12	713616	59929737	76597584	27134188
2018-05-13	629596	59986727	76657387	27155121
2018-05-14	634119	59986142	76674229	27165563
2018-05-15	685332	59901111	76753573	27194221
2018-05-16	749700	59919357	76884676	27245782
2018-05-17	711671	59963312	77052853	27300279
2018-05-18	727157	59995531	77210335	27352188
2018-05-19	673351	60033767	77370921	27409306
2018-05-20	638450	60065599	77462903	27437893
2018-05-21	633057	60026861	77499091	27453590
2018-05-22	757493	60099012	77626622	27493754
